"filename", "language", "TypeScript JSX", "XML", "CSS", "TypeScript", "JSON with Comments", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/pages/TopMovies/TopMovies.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55
"/Users/leeklusky/be-for-reel/client/src/pages/TopMovies/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/UserDir/UserDir.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 8, 41
"/Users/leeklusky/be-for-reel/client/src/pages/UserDir/UserDir.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 25
"/Users/leeklusky/be-for-reel/client/src/pages/UserDir/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/index.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/leeklusky/be-for-reel/client/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/leeklusky/be-for-reel/client/src/recoil/atoms/pollDirectoryAtom.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/leeklusky/be-for-reel/client/src/reportWebVitals.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/leeklusky/be-for-reel/client/src/setupTests.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/leeklusky/be-for-reel/client/src/utils/auth.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 65
"/Users/leeklusky/be-for-reel/client/src/utils/index.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/leeklusky/be-for-reel/client/src/utils/interfaces.tsx", "TypeScript JSX", 190, 0, 0, 0, 0, 0, 0, 0, 0, 19, 25, 234
"/Users/leeklusky/be-for-reel/client/src/utils/mutations.tsx", "TypeScript JSX", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 167
"/Users/leeklusky/be-for-reel/client/src/utils/queries.tsx", "TypeScript JSX", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 203
"/Users/leeklusky/be-for-reel/client/src/utils/typeUtils.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 93
"/Users/leeklusky/be-for-reel/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"/Users/leeklusky/be-for-reel/package.json", "JSON", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"/Users/leeklusky/be-for-reel/server/config/connection.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 5, 21
"/Users/leeklusky/be-for-reel/server/controllers/api/email-routes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 143, 8, 16, 167
"/Users/leeklusky/be-for-reel/server/controllers/api/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 4, 10
"/Users/leeklusky/be-for-reel/server/controllers/api/movie-routes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 46, 4, 11, 61
"/Users/leeklusky/be-for-reel/server/controllers/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 8
"/Users/leeklusky/be-for-reel/server/models/Confirmation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 4, 31
"/Users/leeklusky/be-for-reel/server/models/Genre.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 15
"/Users/leeklusky/be-for-reel/server/models/Movie.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 4, 27
"/Users/leeklusky/be-for-reel/server/models/Poll.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 7, 177
"/Users/leeklusky/be-for-reel/server/models/User.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 143, 6, 12, 161
"/Users/leeklusky/be-for-reel/server/models/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
