"filename", "language", "JSON", "JSON with Comments", "XML", "TypeScript", "Markdown", "CSS", "JavaScript", "TypeScript JSX", "HTML", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/server/controllers/movie-search.js", "JavaScript", 0, 0, 0, 0, 0, 0, 55, 0, 0, 5, 14, 74
"/Users/leeklusky/be-for-reel/server/models/Movie.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"/Users/leeklusky/be-for-reel/server/models/Poll.js", "JavaScript", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 7, 149
"/Users/leeklusky/be-for-reel/server/models/User.js", "JavaScript", 0, 0, 0, 0, 0, 0, 102, 0, 0, 3, 11, 116
"/Users/leeklusky/be-for-reel/server/models/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"/Users/leeklusky/be-for-reel/server/package.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"/Users/leeklusky/be-for-reel/server/schemas/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/Users/leeklusky/be-for-reel/server/schemas/resolvers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 291, 0, 0, 30, 36, 357
"/Users/leeklusky/be-for-reel/server/schemas/typeDefs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 19, 155
"/Users/leeklusky/be-for-reel/server/server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 47, 0, 0, 3, 10, 60
"/Users/leeklusky/be-for-reel/server/utils/auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 7, 34
"/Users/leeklusky/be-for-reel/server/utils/typeUtils.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 9, 1, 46
"Total", "-", 130, 26, 1, 14, 62, 650, 875, 2350, 20, 361, 624, 5113
